modelo,fabricacao,quantidade,quantidade_total
ONIX HATCH ACTIV 1.4 8V FLEX 4,2017,1,10
Ka 1.0 SE TiVCT Flex 5p,2019,1,10
Z-800,2013,1,10
Versys 650cc,2020,1,10
ONIX HATCH PREM. 1.0 12V TB FL,2020,1,10
COROLLA XEI 2.0 FLEX,2012,1,10
KICKS SL 1.6 16V FLEXSTAR   .,2019,1,10
HILUX CD SRV 4X4 2.8 TDI DIESE,2016,1,10
COMPASS LONGITUDE 2.0 4X4 DIES,2019,1,10
CLASSIC LS 1.0 FLEXPOWER,2011,1,10
VT 600 C SHADOW,2001,1,9
Gol (novo) 1.0 Mi Total Flex 8V 4p,2010,1,9
Fiorino Furgão EVO 1.4 Flex 8V 2p,2015,1,9
COMPASS LONGITUDE 2.0 4X2 FLEX,2020,1,9
ONIX HATCH LTZ 1.4 8V FLEXPOWE,2019,1,9
ONIX HATCH LT 1.0 8V FlexPower 5p Mec.,2015,1,9
KICKS EXCLUSIVE 1.6 16V FLEX A,2021,1,9
Palio EDX 1.0 mpi 4p,1997,1,9
PRISMA Sed. Joy 1.0 8v FlexPower,2019,1,9
Celta Life 1.0 MPFI 8v FlexPower 3p,2007,1,9
TRACKER 1.0 Turbo 12V Flex Aut,2020,1,9
MONTANA LS 1.4 ECONOFLEX,2014,1,9
VIRTUS COMFORT. 200 TSI 1.0 FL,2018,1,9
COMPASS LIMITED 2.0 4X2 FLEX 1,2018,1,9
HILUX CD SR 4X4 2.8 TDI DIESEL,2020,1,9
HILUX SW4 SRX 4X4 2.8 TDI 16V,2023,1,9
HR 2.5 TCI Diesel (RD,2011,1,9
LOGAN Authe. S.Especial Flex 1.0 12V 4p,2018,1,9
Ka+ Sedan 1.5 16V Flex 4p,2018,1,8
APACHE RTR 200cc,2020,1,8
COMPASS LIMITED T270 1.3 TB 4X,2021,1,8
ETIOS X HB 1.3,2014,1,8
DAILY CHASSI 35S14 2p (dies.)(E5),2014,1,8
MOBI LIKE 1.0 FIRE FLEX 4P.,2018,1,8
NINJA ZX-6R 636cc,2021,1,8
RENEGADE1.8 4X2 FLEX 16V AUT(P,2018,1,8
VIRTUS HIGHLINE 200 TSI 1.0 FL,2018,1,8
SANDERO Exp. S.Especial Flex 1.0 12V 5p,2017,1,8
FIESTA 1.6 FLEX,2012,1,8
TORO FREEDOM 2.0 16V 4X4 DIESE,2018,1,8
Ka 1.0 SE TiVCT Flex 5p,2017,1,8
CG 150 TITAN-EX MIX,2010,1,8
Fiorino Furgão EVO 1.4 Flex 8V 2p,2014,1,8
Fiesta 1.0 8V Flex 5p,2011,1,8
G 650 GS,2012,1,8
Gol CL 1.6 Mi 2p e 4p,1997,1,8
RENEGADE1.8 4X2 FLEX 16V AUT(P,2020,1,8
FIT LX 1.5 FLEXONE 16V,2015,1,8
ONIX HATCH LT 1.4 8V FlexPower 5p Mec.,2013,1,8
FH 13 540 GLOBETROTTER 6X4 (E5,2022,1,8
YBR 150 FACTOR E,2016,1,8
SANDERO Expression Hi-Flex 1.0 16V 5p,2013,1,8
HR-V EXL 1.8 FLEXONE 16V   AUT,2015,1,8
CITY HATCHBACK TOURING 1.5 FLE,2022,1,8
Celta LT 1.0 MPFI 8V FlexP. 5p,2014,1,8
S 10 PICK-UP LTZ 2.8 CD 4X4 TD,2019,1,8
FIT LX 1.5 FLEXONE 16V,2016,1,8
KICKS SV 1.6 16V FLEXSTAR AUT.,2017,1,8
i30 1.8 16V 148cv Aut. 5p,2014,1,8
CITY Sedan LX 1.5 Flex 16V 4p Aut.,2014,1,8
CELTA SPIRIT 1.0 MPFI FLEXPOWE,2012,1,8
COROLLA XEI 2.0 FLEX,2013,1,8
IX35 GL 2.0 16V 2WD FLEX AUT.,2017,1,7
PRISMA SEDAN LTZ 1.4 8V FLEXPO,2017,1,7
C4 CACTUS FEEL PACK 1.6 16V FL,2021,1,7
OUTLANDER 2.0 16V,2015,1,7
FAT BOB FXFBS,2021,1,7
ONIX HATCH LTZ 1.4 8V FLEXPOWE,2015,1,7
COMPASS LIMITED 2.0 4X4 DIESEL,2021,1,7
NINJA 250R,2009,1,7
NIVUS HIGHLINE 1.0 200 TSI FLE,2021,1,7
CELTA SPIRIT 1.0 MPFI FLEXPOWE,2010,1,7
SAVEIRO ROBUST 1.6 TOTAL FLEX,2020,1,7
ECOSPORT FREESTYLE 1.6 16V FLE,2015,1,7
ETIOS X  1.3 Flex 16V 5p Mec.,2017,1,7
Hilux CD 4x4 2.8 Diesel,2019,1,7
DUSTER ICONIC 1.6 16V FLEX AUT,2020,1,7
ETIOS X HB 1.3,2016,1,7
SANDERO Expression Hi-Flex 1.0 16V 5p,2012,1,7
HB20 SEDAN 1.6 COMFORT PLUS,2015,1,7
ONIX HATCH LT 1.0 8V FLEXPOWER,2013,1,7
MARCH SV 1.0 12V Flex 5p,2015,1,7
Up! take 1.0 Total Flex 12V 5p,2015,1,7
TORO RANCH 2.0 16V 4X4 DIESEL,2020,1,7
Ka 1.0 SE TiVCT Flex 5p,2020,1,7
Fox 1.0 Mi Total Flex 8V 5p,2013,1,7
KWID OUTSIDER 1.0 Flex 12V 5p,2021,1,7
S 10 PICK-UP LTZ 2.8 CD 4X4 TD,2021,1,7
HILUX SW4 SRV D4-D 4X4 3.0 TDI,2011,1,7
NINJA 300,2017,1,7
ECOSPORT FREESTYLE 1.6 16V FLE,2014,1,7
Kombi Standard 1.4 Mi Total Flex 8V,2012,1,7
MOBI LIKE 1.0 FIRE FLEX 4P.,2023,1,7
COBALT LTZ 1.4 FLEXPOWER,2012,1,7
CIVIC SEDAN LXR 2.0 FLEXONE,2014,1,7
ONIX SEDAN PLUS LT 1.0 12V 4P,2020,1,7
ONIX SED. PLUS PREM. 1.0 12V T,2019,1,7
Up! move 1.0 Total Flex 12V 5p,2014,1,6
FIT Twist 1.5 Flex 16V 5p Aut.,2013,1,6
Hilux CD SRV 4x4 2.8 TDI Diesel Aut.,2015,1,6
ETIOS X 1.3 FLEX 16V   AUT,2017,1,6
VOYAGE 1.6 MI TOTAL FLEX,2013,1,6
Bongo K-2500 2.5 4x2 TB Diesel,2011,1,6
Gol 1.0 Plus 16v 4p,2000,1,6
i30 1.8 16V 148cv Aut. 5p,2013,1,6
FOX CONNECT 16 FLEX 8V 5P,2018,1,6
BANDIT N-650,2011,1,6
SPIN LTZ 1.8 ECONOFLEX,2018,1,6
HR-V EX 1.8 Flexone 16V 5p Aut.,2021,1,6
ONIX,2018,1,6
LOGAN Expression Hi-Flex 1.6 8V 4p,2014,1,6
FIORINO ENDURANCE EVO 1.4 FLEX,2021,1,6
VERSYS-X 300 TOURER,2021,1,6
ARGO DRIVE 1.3 8V FLEX,2018,1,6
MONTANA 1.4 8V Conquest ECONOFLEX  2p,2009,1,6
JETTA 2.0 TSI TIPTRONIC,2017,1,6
TERRITORY TITANIUM 1.5 GTDI EC,2021,1,6
S10 PIC-UP H.COUNTRY 2.8 4X4 C,2018,1,6
CITY SEDAN EXL 1.5 FLEX  16V 4,2019,1,6
COMPASS LIMITED 350 2.0 4X4 DI,2022,1,6
SANDERO Expression Hi-Power 1.0 16V 5p,2015,1,6
VIRTUS HIGHLINE 200 TSI 1.0 FL,2019,1,6
HILUX SRV D4-D 3.0 CD 4X4 TB D,2015,1,6
CIVIC SEDAN EXL 2.0 FLEX 16V .,2019,1,6
FOX 1.0 MI TOTAL FLEX,2010,1,6
TORO RANCH 2.0 16V 4X4 DIESEL,2019,1,6
Gol CLi  1.6,1995,1,6
HILUX 2.8 CD 4X4 D,2017,1,6
FOX 1.0 MI TOTAL FLEX,2013,1,6
Hilux CD 4x4 2.8 Diesel,2020,1,6
Fiorino Furgão Work. HARD 1.4 Flex 8V 2p,2019,1,6
CIVIC SEDAN LXL 1.8 FLEX 16V,2012,1,6
TIGUAN Allspac R-Line 350 TSI 2.0 4x4,2019,1,6
STRADA ENDURANCE 1.4 FLEX 8V C,2020,1,6
NX 400i FALCON,2012,1,6
CELTA SPIRIT 1.0 MPFI FLEXPOWE,2009,1,6
RENEGADE SPORT 1.8 4X2 FLEX 16,2017,1,6
Tucson 2.0 16V Aut.,2008,1,6
GSX  650F,2009,1,6
Tucson 2.0 16V Aut.,2009,1,6
TORO Freedom 2.4 16V Flex Aut.,2017,1,6
Ka+ Sedan 1.0 TiCVT Flex 4p,2019,1,6
XTZ 250 LANDER 249cc,2009,1,6
CRUZE LTZ 1.4 16V TURBO FLEX 4,2019,1,6
HB20S Premium 1.6 Flex 16V Aut. 4p,2015,1,6
PRISMA LT 1.4 SPE/4 FLEX,2018,1,6
GRAND SIENA ESSENCE 1.6 16V FL,2013,1,6
GSX-R 750 W SRAD,2012,1,6
ONIX HATCH LT 1.0 12V FLEX 5P,2022,1,6
HB20 COMFORT 1.0 FLEX,2016,1,6
VOYAGE 1.6 MSI FLEX 8V 4P,2019,1,6
DUKE 200,2017,1,5
TIGGO 5X TXS 1.5 16V TURBO FLE,2021,1,5
VERSA SL 1.6 16V FlexStart 4p Aut.,2019,1,5
VOYAGE 1.0 FLEX 12V 4P,2022,1,5
CRETA SMART 1.6 16V FLEX AUT.,2019,1,5
Strada Working 1.4 mpi Fire Flex 8V CS,2015,1,5
AMAROK HIGHLINE CD 3.0 4X4 TB,2021,1,5
Fiorino Furg.1.3 Fire Flex,2011,1,5
9-150 E DELIVERY,2011,1,5
CIVIC SEDAN EXL 2.0 FLEX 16V .,2021,1,5
