modelo,fabricacao,quantidade,quantidade_total
KA 1.0 8V ST Flex,2011,1,4
Fiesta Sedan SE 1.6 16V Flex 4p,2011,1,4
VOYAGE 1.6 MSI Flex 8V 4p,2020,1,4
Axor 2544 S 6x2 2p (diesel) (E5),2018,1,4
COMPASS LONGITUDE 2.0 4X4 DIES,2018,1,4
ETIOS X 1.3 FLEX 16V   AUT,2018,1,4
F-250 XL 4.2 Turbo Diesel,2000,1,4
Fiorino Furg.1.3,2012,1,4
HR-V LX 1.8 FLEXONE 16V   AUT.,2016,1,4
FOX 1.0 MI TOTAL FLEX,2011,1,4
CRETA PULSE PLUS 1.6 16V FLEX,2019,1,4
SANDERO Expression Hi-Flex 1.6 8V 5p,2011,1,4
Civic Sedan EXL 2.0 Flex 16V Aut.4p,2017,1,4
KWID INTENSE 1.0 FLEX 12V 5P M,2020,1,4
XTZ 250 TENERE,2010,1,4
S 10 PICK-UP LT 2.8 CD TDI,2014,1,4
UNO ATTRACTIVE 1.0 FLEX 6V,2016,1,4
3008 GRIFFE 1.6 TB,2018,1,4
TIGUAN ALLSPACE R-LINE 350 TSI,2018,1,4
Fit EX 1.5 Aut,2013,1,4
Freelander2 SE 2.2 SD4 190cv T.Diesel,2012,1,4
Pajero TR4 2.0 Flex Aut,2011,1,4
MONTANA LS 1.4 ECONOFLEX,2017,1,4
ETIOS XLS SD 1.5,2013,1,3
ACTROS 2548 MP5 LS 6X2 2P (DIE,2021,1,3
RC 44 25,"",1,3
JETTA GLI 350 TSI 2.0 16V 4P A,2019,1,3
NOVO GOL 1.6 TOTAL FLEX,2012,1,3
IDEA ATTRACTIVE 1.4 FIRE FLEX,2012,1,3
Corsa Milenium  1.0 MPF,2002,1,3
HR 2.5 TCI HD RS,2012,1,3
MONTANA LS 1.4 ECONOFLEX,2015,1,3
ONIX JOYE 1.0 MECANICO,2018,1,3
Face 1.3 16V,2011,1,3
STRADA 1.4 MPI FIRE FLEX,2009,1,3
FOCUS HATCH 1.6 MPI,2009,1,3
NOVO GOL CITY 1.6 TOTAL FLEX,2012,1,3
NIVUS COMFORTLINE !.0 200 TSI,2021,1,3
HB20 Comf. 1.0,2018,1,3
Fit LX 1.4 16V Mec,2012,1,3
SANDERO EXPRESSION 1.0 16V HI-,2009,1,3
GRAND SIENA ESSENCE 1.6 16V FL,2014,1,3
XSARA PICASSO GLX 1.6 16V FLEX,2011,1,3
Kombi Standard 1.4 Mi Total Flex 8V,2007,1,3
S10 Pick-Up Std. 2.2 EFI,1997,1,3
FIESTA SE 1.6 16V FLEX,2012,1,3
ECOSPORT STORM 2.0 4WD 16V FLE,2018,1,3
CARGO 2429 E 6x2 Turbo 2p (diesel)(E5),2014,1,3
Polo1.0 Flex 12V 5p,2020,1,3
KA SEL 1.5 16V FLEX,2015,1,3
COMPASS S 2.0 4x4 TB 16V Aut.,2019,1,3
Palio ELX 1.0 4p,2000,1,3
Range R.EVOQUE Dynamic 2.0 Aut 5p,2013,1,3
Ranger XLS 2.5 16V 4x2 CD Flex,2014,1,3
RENEGADE STD 1.8 4X2 FLEX 16V,2020,1,3
SPACEFOX TREND 1.6 TOTAL FLEX,2014,1,3
HB20 SEDAN 1.6 COMFORT STYLE,2014,1,3
CIVIC SEDAN LXS 1.8 16V,2009,1,3
CITY Sedan EXL 1.5 Flex  16V 4p Aut.,2015,1,3
UNO WAY CELEB. 1.0 EVO FIRE FL,2012,1,3
MOBI TREKKING 1.0 FLEX 5P.,2022,1,3
TT 2.0 16v TFSI S-Tronic,2015,1,3
MERIVA MAXX 1.4 MPFI ECONOFLEX,2011,1,3
A4 2.0 16V 180 cv Multitronic,2011,1,3
SPIN ADVANTAGE 1.8 8V ECONO FL,2017,1,3
CRUZE HB Sport LT 1.8 16V FlexP. 5p Aut,2012,1,3
Uno Mille 1.0 Economy 2.p,2012,1,3
320 IA SPORT 2.0 TB 16V,2020,1,3
L200 TRITON SPORT GLS 2.4 CD D,2021,1,3
NOVO GOL 1.6 TOTAL FLEX,2011,1,3
FH 13 460 GLOBETROTTER 6X4 (E5,2014,1,3
SPORTAGE EX 2.0 16V FLEX,2018,1,3
S 10 PICK-UP LTZ 2.8 CD 4X4 TD,2020,1,3
VOYAGE 1.0 8V 4P,2012,1,3
COBALT ELITE 1.8 8V ECONO.FLEX,2017,1,3
KICKS SENSE 1.6 16V FLEX AUT.,2021,1,3
SPIN LTZ 1.8 ECONOFLEX,2016,1,3
Vectra GL 2.0 MPFI,1998,1,3
VERACRUZ GLS 3.8 4WD Aut.,2008,1,3
CLIO HATCH EXPRESSION 1.0 16V,2015,1,3
DELIVERY EXPRESS 2P (DIESEL)(E,2020,1,3
CITY SEDAN EXL 1.5 FLEX  16V 4,2021,1,3
CORSA SEDAN CLASSIC SPIRIT 1.0,2009,1,3
XVS 950 MIDNIGHT STAR,2014,1,3
VOYAGE HIGHLINE 1.6 MI TOTAL F,2016,1,3
FAT BOY FLFB,2019,1,3
Gol Special 1.0 2p,2000,1,3
SAVEIRO 1.6 MI/ 1.6 TOTAL FLEX,2012,1,3
Corsa Sedan GLS 1.6 16V MPFI 4p,1997,1,3
Renegade Sport 1.8 4x2 Flex 16V Aut.,2017,1,3
HB20 COMFORT PLUS 1.0 FLEX,2017,1,3
VW/SAVEIRO CS RB MPI,2023,1,3
DAILY CHASSI 35S14 2p (diesel),2008,1,3
FOX PLUS 1.6 MI TOTAL FLEX,2009,1,3
RAV4 2.0 TOP 4X2 16V AUT.,2017,1,3
L-200 TRITON HPE 3.2 CD TB IC,2012,1,3
FOCUS HATCH 1.6 MPI,2012,1,3
C4 CACTUS FEEL BUS. 1.6 FLEX A,2019,1,3
RENEGADE1.8 4X2 FLEX 16V AUT(P,2016,1,3
FOX CITY 1.0 MI,2004,1,3
L 1620,2008,1,3
COROLLA XEI 1.8 16V,2004,1,3
Fit LX 1.4 16V Mec,2004,1,3
POLO 1.6 MSI TOTAL FLEX 16V 4P,2019,1,3
24-280 E CONSTELLATION 6X2,2020,1,3
ECOSPORT TITANIUM 2.0 16V FLEX,2018,1,3
IDEA ADVENTURE LOCKER 1.8 FLEX,2010,1,3
Corsa Sedan Classic  1.6 MPFI,2003,1,3
FIT EX/S/EX 1.5 FLEX/FLEXONE 1,2017,1,3
Celta Life 1.0 MPFI 8v FlexPower 3p,2012,1,3
UNO VIVACE 1.0 EVO Fire Flex 8V 3p,2015,1,3
KA GL 1.0i Zetec Rocam,2004,1,3
L 1620,2009,1,3
2008 CROSSOWAY 1.6 FLEX 16V  A,2018,1,3
AMAROK CS 2.0 16V TDI 4x4,2013,1,3
LINEA ESSENCE DUALOGIC 1.8 16V,2013,1,3
FOX TRENDLINE 1.0 FLEX 8V,2014,1,3
Corolla SE-G 1.8 aut,2004,1,3
FASTBACK LIMITED ED.1.3 270 T.,2022,1,3
Kombi Furgão 1.4 Mi Total Flex 8V,2009,1,3
CORSA SEDAN CLASSIC LIFE 1.0 F,2008,1,3
5-150 E DELIVERY,2013,1,3
Polo Comfort. 200 TSI 1.0 Flex 12V Aut.,2018,1,3
RANGER LIMITED 3.2 20V 4X4 CD,2018,1,3
PAJERO TR4 2.0 16V 4X4,2010,1,3
HILUX SRV D4-D 3.0 CD 4X4 TB D,2011,1,3
S 10 PICK-UP LTZ 2.8 CD 4X4 TD,2023,1,3
STRADA HARD WORKING CABINE ESTENDIDA E,2019,1,3
Up! take 1.0 Total Flex 12V 5p,2017,1,3
KA+ SEDAN 1.0 TICVT FLEX,2020,1,3
KA 1.5 SE PLUS 12V FLEX 4P AUT,2020,1,3
PAJERO TR4 2.0 16V 4X4 FLEX,2011,1,3
PUNTO ESSENCE DUALOGIC 1.6 16V,2014,1,3
S 10 PICK-UP LT 2.8 CD 4X4 TDI,2019,1,3
Astra GL Milenium 1.8 MPFI 4p,2001,1,3
C4 LOUNGE Shine 1.6 Turbo Flex Aut.,2018,1,3
CRETA ATTITUDE  1.6 16V AT FLE,2021,1,3
FIT EXL 1.5 FLEX/FLEXONE 16V 5,2015,1,3
COROLLA CROSS XRV 1.8 16V AUT.,2021,1,3
CARGO 2429 E 6X2 TB,2014,1,3
C4 CACTUS FEEL 1.6 16V FLEX AU,2019,1,3
Vectra  2.0,1999,1,3
COROLLA ALTIS PREM. HYBRID 1.8,2019,1,3
TAOS HIGHLINE 1.4 250 TSI FLEX,2021,1,3
STRADA 1.4 MPI FIRE FLEX,2011,1,3
ARGO DRIVE GSR 1.3 8V FLEX,2017,1,3
PRISMA Sed. LT 1.4 8V FlexPower 4p,2018,1,3
T-Cross Sense 1.0 TSI Flex 5p Aut.,2022,1,3
JETTA 2.0 Total Flex 8V 4p Mec.,2011,1,3
S10 PICK-UP LT 2.8 TDI 4X4 CD,2018,1,3
UNO DRIVE 1.0 Flex 6V 5p,2017,1,3
207 SEDAN PASSION XR SPORT 1.4,2011,1,3
Corsa Hat. Maxx 1.4 8V ECONOFLEX 5p,2007,1,3
206 Presence 1.4 5p,2008,1,3
Saveiro 1.6 Mi,2002,1,3
Civic Sedan TOURING 1.5 Turbo 16V Aut.4p,2016,1,3
LOGAN Expression Hi-Flex 1.6 8V 4p,2016,1,3
COMPASS LONGITUDE 2.0 4x2 Flex 16V Aut.,2016,1,3
Uno Mille 1.0 Fire 2p,2004,1,3
Uno Mille EP 2p e 4p,1995,1,3
DUSTER DYNAMIQUE 1.6 16V HI-FL,2013,1,3
Fiorino Furgão Work. HARD 1.4 Flex 8V 2p,2018,1,3
SPIN LTZ 1.8 ECONOFLEX,2014,1,3
Fox City 1.0 Mi Total Flex 4p,2005,1,3
Palio ELX 1.4 mpi Fire Flex 8V 4p,2006,1,3
FH 13 540 GLOBETROTTER 6X4 (E5,2020,1,3
Kangoo Express Hi-Flex 1.6 16V,2016,1,3
TUCSON 2.0 16V,2009,1,3
UNO MILLE WAY ECONOMY 1.0 FIRE,2010,1,3
COROLLA GLI 2.0 16V FLEX AUT.,2020,1,3
UNO MILLE ECONOMY 1.0 FLEX,2013,1,3
ONIX SED. PLUS PREM. 1.0 12V T,2021,1,3
FIORINO,2020,1,3
Clio Sed. Privilège Hi-Flex 1.6 16V 4p,2005,1,3
POLO SEDAN 1.6 MI TOTAL FLEX,2007,1,3
HB20 COMFORT PLUS 1.6 FLEX,2015,1,3
GRAND SIENA ESSENCE 1.6 16V FL,2012,1,3
HB20 PREMIUM 1.6 FLEX,2014,1,3
UNO WAY 1.0 EVO FIRE FLEX,2015,1,3
UNO VIVACE Celeb. 1.0 EVO F.Flex 8V 5p,2014,1,3
YARIS XL LIVE 1.3 FLEX 16V 5P,2021,1,3
HB20 SEDAN 1.6 COMFORT STYLE,2018,1,3
ROAD GLIDE ULTRA FLTRU,2018,1,3
GRAND SIENA ESSENCE 1.6 16V FL,2015,1,3
ULTRA LIMITED FLTHTK,2020,1,3
Saveiro Robust 1.6 Total Flex 8V,2017,1,3
SANDERO STEPWAY 1.6 16V HI-FLE,2013,1,3
COROLLA CROSS GR-S 2.0 16V FLE,2022,1,3
GOL TRENDLINE 1.0 T.FLEX 12V 4,2016,1,3
Strada Adventure 1.8 Flex CD,2012,1,3
CITY SEDAN PERSONAL 1.5 FLEX 1,2018,1,3
SPORTAGE EX 2.0 16V FLEX,2014,1,3
FOX 1.6 MI TOTAL FLEX,2014,1,3
C3 PICASSO GLX 1.5 FLEX,2012,1,3
METEOR 28.460 6X2 2P (DIESEL)(,2022,1,3
KICKS UCL 1.6 16V FLEX 5P AUT.,2019,1,3
SANDERO EXP. S.ESPECIAL FLEX 1,2019,1,3
Fit EX 1.5 Aut,2006,1,3
PALIO 1.0 FIRE,2008,1,3
CROSSFOX 1.6 MI TOTAL FLEX,2012,1,3
S10 P-Up Advant. 2.4 CD,2016,1,3
Palio ESSENCE 1.6 Flex 16V 5p,2014,1,3
Celta Spirit 1.0 MPFI VHC 8V 5p,2004,1,3
ARGO DRIVE GSR 1.3 8V FLEX,2018,1,3
PRISMA SEDAN LTZ 1.4 8V FLEXPO,2018,1,3
Palio 1.0 Fire Flex  2p,2006,1,3
Clio RN Exp 1.0 5p,2014,1,3
HR-V LX 1.8 FLEXONE 16V   AUT.,2018,1,3
FOX CONNECT 16 FLEX 8V 5P,2020,1,3
CRETA PULSE 2.0 16V FLEX AUT.,2017,1,3
STRADA WORKING 1.4 MPI FIRE FL,2010,1,3
UNO ATTRACTIVE 1.0 EVO FIRE FL,2015,1,3
FASTBACK AUDACE 1.0 200 T. FLE,2023,1,3
KICKS S 1.6 16V FLEX 5P AUT.,2020,1,3
Strada Working 1.5 mpi 8v CS,2001,1,3
Frontier XE CD 4x2 2.5 TB Diesel,2012,1,3
HILUX SW4 SRV D4-D 4X4 3.0 TDI,2009,1,3
KANGOO EXPRESS HI-FLEX 1.6 16V,2010,1,3
15-190 E CONSTELLATION,2013,1,3
206 Presence 1.4 Flex 5p,2007,1,3
SPACEFOX 1.6 MI TOTAL FLEX,2013,1,3
ARGO,2021,1,3
SAVEIRO TRENDLINE 1.6 FLEX,2017,1,3
SPACEFOX TREND 1.6 TOTAL FLEX,2013,1,3
GRAND VITARA 2.0 16V,2015,1,3
UNO MILLE 1.0 FIRE FLEX,2011,1,3
TORO FREEDOM 1.8 16V FLEX AUT,2021,1,3
ETIOS XS SD 1.5,2013,1,3
HB20 COMFORT 1.0 FLEX,2015,1,3
RANGER LIMITED 3.2 20V 4X4 CD,2014,1,3
C3 TENDANCE 1.5 FLEX,2013,1,3
HILUX SR D4-D 3.0 CD 4X4 TB D,2012,1,3
HB20 COMFORT PLUS 1.6 FLEX,2013,1,3
MONTANA LS 1.4 ECONOFLEX 8V 2p,2016,1,3
Astra Advantage 2.0 MPFI 8V FlexPower 5p,2010,1,3
CELTA LT 1.0 MPFI FLEX,2011,1,3
PRISMA SEDAN JOY 1.4 ECONOFLEX,2008,1,3
SANDERO STEPWAY 1.6 16V HI-FLE,2012,1,3
24-250 E CONSTELLATION,2010,1,3
FIT LX 1.4 FLEX,2012,1,3
SAVEIRO 1.6 MI TOTAL FLEX CE,2011,1,3
FLUENCE Sedan Dynamique 2.0 16V FLEX Aut.,2013,1,3
S10 P-Up Advant. 2.4 CD,2008,1,3
ONIX HATCH LT 1.0 12V FLEX 5P,2023,1,3
NOVO GOL CITY 1.0 TOTAL FLEX,2010,1,3
NEXT 300cc,2019,1,3
Fox 1.6 Mi I MOTION Total Flex 8V 5p,2012,1,3
ETIOS XLS Sedan 1.5 Flex 16V 4p Mec.,2014,1,3
TUCSON GL 1.6 TURBO 16V AUT.,2017,1,3
JOURNEY RT 2.7 V6 185cv Aut.,2011,1,2
RANGER XLS 2.2 4X2 CD DIESEL A,2020,1,2
S 10 PICK-UP LS 2.4 FLEX POWER,2014,1,2
AIRCROSS GLX 1.6 16V FLEX,2011,1,2
CAPTIVA SPORT FWD 2.4 16V 185cv,2012,1,2
RANGER XL 3.0 PSE 4X4 TB D,2010,1,2
2500 LARAM. 6.7 NIGHT ED. TB C,2020,1,2
SANDERO AUTH. S.ESPECIAL FLEX,2019,1,2
STRADA 1.4 MPI FIRE FLEX,2008,1,2
SOUL 1.6 16V,2011,1,2
Palio Trofeo 1.0 Fire 2p,2002,1,2
MONTANA LS 1.4 ECONOFLEX,2012,1,2
LANCER 2.0 16V,2014,1,2
PAJERO TR4 2.0 16V 4X2 FLEX NO,2012,1,2
POLO 1.6 E FLEX,2012,1,2
S10 PIC-UP H.COUNTRY 2.8 4X4 C,2021,1,2
UNO WAY CELEB. 1.0 EVO FIRE FL,2011,1,2
MOBI LIKE,2019,1,2
FH 13 460 6X2 (E5),2013,1,2
ATEGO 1719 (E5),2013,1,2
CLASSIC LIFE 1.0 VHC E FLEXPOW,2011,1,2
CORSA SEDAN CLASSIC LIFE 1.0 V,2005,1,2
PUNTO ESSENCE 1.6 FLEX,2010,1,2
AMAROK TRENDLINE CD 2.0 16V TD,2011,1,2
FH 13 440 4X2,2007,1,2
Focus Sedan 1.6 8v,2005,1,2
AXOR 2540 S 6X2,2010,1,2
FIT EXL 1.5 FLEX,2015,1,2
MOBI LIKE ON 1.0 FIRE FLEX 4P.,2016,1,2
SANDERO EXPRESSION 1.6 8V HI-F,2013,1,2
FIT LXL 1.4 FLEX,2012,1,2
VERSA SL 1.6 16V FlexStart 4p Aut.,2016,1,2
TORO FREEDOM 1.3 T270 4X2 FLEX,2023,1,2
Fit LX 1.4 8V Mec,2005,1,2
Kwid Outsider 1.0 MT-2022/2023,2023,1,2
Corsa Hat. Max 1.0 FlexPower,2006,1,2
S 10 PICK-UP LT 2.4 CD FLEX PO,2013,1,2
Corolla ALTIS 2.0 Flex 16V Aut.,2010,1,2
HB20 PLATINUM 1.0 TB FLEX 12V,2022,1,2
FIT LXL 1.4 FLEX,2011,1,2
F-150 Raptor,2010,1,2
PALIO ESSENCE 1.6 16V FLEX,2011,1,2
CR-V EXL 2.0 Flexone  Aut.,2014,1,2
14-190 CONSTELLATION 2P (DIESE,2021,1,2
COMPASS,2018,1,2
ZAFIRA EXPRESSION 2.0 MPFI FLE,2010,1,2
CITY SEDAN LX 1.5 FLEX,2013,1,2
COMPASS SPORT T270 1.3 TB 4X2,2022,1,2
HB20,2013,1,2
VOYAGE TRENDLINE 1.6 FLEX 8V,2015,1,2
TIGUAN ALLSPACE 250 TSI 1.4 FL,2019,1,2
ETIOS PLATINUM SED. 1.5 FLEX 1,2018,1,2
SAVEIRO TRENDLINE 1.6 FLEX,2015,1,2
FIESTA SE PLUS 1.6 16V FLEX 5P,2018,1,2
Focus Fastback SE PLUS 2.0 Flex Aut.,2015,1,2
ECOSPORT FREESTYLE 2.0 16V FLE,2014,1,2
BRAVO SPORTING 1.8 FLEX 16V,2014,1,2
BONGO K 2500 2.5 D,2010,1,2
DUSTER TECHROAD 2.0 16V,2013,1,2
DUSTER,2013,1,2
PRISMA SEDAN MAXX 1.4 ECONOFLE,2009,1,2
PALIO WEEKEND ELX 1.4 MPI FIRE,2008,1,2
RANGER XLS 2.2 4X4 CD DIESEL M,2013,1,2
FOX 1.6 HIGHLINE VHT FLEX,2010,1,2
CITY SEDAN LX 1.5 FLEX,2009,1,2
Meriva 1.8 MPFI 8V 102cv,2003,1,2
208 ACTIVE 1.2 FLEX 12V   MEC.,2019,1,2
RANDON SR FG LO 3E,2021,1,2
MASTER 2.5 CHASSI DCI D,2012,1,2
PALIO 1.0 FIRE,2003,1,2
FIT DX 1.5 FLEXONE 16V,2016,1,2
ECOSPORT SE 2.0 FLEX,2015,1,2
COROLLA FIELDER SW 1.8 16V,2006,1,2
GSX 750 F,2006,1,2
NOVO GOL CITY 1.6 TOTAL FLEX,2011,1,2
CIVIC SEDAN LXS 1.8 16V FLEX,2009,1,2
C-200 Kompressor Avant.1.8 16V Aut,2009,1,2
AMAROK SE CD 2.0 16V TDI 4x4 Diesel,2013,1,2
T-CROSS 1.0 TSI FLEX 12V 5P AU,2023,1,2
DOBLO ADVENTURE LOCKER 1.8 MPI,2010,1,2
GRAND SIENA ESSENCE DUALOGIC 1,2017,1,2
JETTA TRENDLINE 1.4 TSI 16V 4P,2016,1,2
TRACKER LTZ 1.0 TURBO 12V FLEX,2020,1,2
TIGUAN 2.0 TSI 16V TIPTRONIC,2013,1,2
HB20 SEDAN 1.0 COMFORT PLUS,2019,1,2
Ranger XLT 2.5 4x4 CD Diesel,2000,1,2
Vectra GLS,1994,1,2
Grand Siena ESSENCE 1.6 Flex 16V,2015,1,2
L-1621 3-Eixos 2p (diesel),1995,1,2
IDEA ATTRACTIVE 1.4 FIRE FLEX,2013,1,2
ETIOS XLS SD 1.5,2015,1,2
FIORINO FURGAO 1.5,2013,1,2
COROLLA XEI 1.8 16V,2008,1,2
GOL,2020,1,2
STRADA TREKKING 1.6 FLEX CD,2014,1,2
FIESTA 1.0 FLEX,2008,1,2
FOCUS HATCH 2.0 16V FLEX,2011,1,2
MOBI WAY 1.0 FIRE FLEX 4P,2017,1,2
MERIVA JOY 1.8 FLEXPOWER,2006,1,2
Courier 1.6 L,2001,1,2
SANDERO AUTHENTIQUE 1.0 16V HI,2009,1,2
S 10 PICK-UP EXECUTIVE 2.8 CD,2009,1,2
SAVEIRO CITY 1.6 MI TOTAL FLEX,2008,1,2
LOGAN ZEN FLEX 1.0 12V 4P MEC.,2021,1,2
NINJA 300,2016,1,2
FOX ROUTE 1.6 MI TOTAL FLEX,2008,1,2
FIESTA 1.0 FLEX,2009,1,2
Classic LS 1.0 VHC FlexPower 4p,2009,1,2
ARRIZO 6 PRO 1.5 TURBO (HIBRID,2023,1,2
320IA 2.0 TB M SPORT ACTIVEFLE,2015,1,2
RANGER LIMITED 3.2 20V 4X4 CD,2016,1,2
SENTRA S 2.0 FLEXSTART 16V AUT,2018,1,2
PALIO 1.0 FIRE,2014,1,2
Gol CLi  1.6,1994,1,2
AMAROK SE CD 2.0 16V TDI 4x4 Diesel,2011,1,2
CLASSE A 200 1.6 TB 156CV AUT.,2014,1,2
VIRTUS,2019,1,2
8.150 E DELIVERY,2008,1,2
DOBLO CARGO 1.4 MPI FIRE FLEX,2014,1,2
SIENA EL CELEBRATION 1.0 MPI F,2011,1,2
HILUX 2.8 CD 4X4 D,2018,1,2
R 440 A 6X4 HIGHLINE (E5),2014,1,2
T40 PLUS 1.6 16V 5p Aut.,2021,1,2
KWID LIFE 1.0 FLEX 12V 5P MEC.,2019,1,2
R-510 A 6X4 HIGHLINE 2P (DIESE,2018,1,2
T-CROSS 1.0 TSI FLEX 12V 5P AU,2020,1,2
LOGAN EXPRES. AVANTAGE FLEX 1.,2019,1,2
CARGO 816 E TB,2013,1,2
Renegade1.8 4x2 Flex 16V Mec.,2018,1,2
CELTA LS 1.0 MPFI FLEX,2013,1,2
ETIOS PLATINUM 1.5 FLEX 16V 4P,2018,1,2
FIT EXL 1.5 FLEX/FLEXONE 16V 5,2016,1,2
SAVEIRO CROSS 1.6 T. FLEX 16V,2016,1,2
Corsa GL 1.6 MPFI,1996,1,2
CRETA,2017,1,2
8-160 E DELIVERY,2012,1,2
Saveiro TROOPER 1.6 Mi Total Flex 8V CE,2013,1,2
FIT EX 1.5 16V,2014,1,2
Fiorino Furg.1.3 Fire Flex,2013,1,2
DUSTER OROCH DYNA. 2.0 HI-FLEX,2016,1,2
NIVUS COMFORTLINE 1.0 200 TSI FLEX AUT.,2021,1,2
Palio Weekend ELX 1.0 mpi Fire 16V,2001,1,2
MONTANA 1.8,2006,1,2
GRAND LIVINA SL 1.8 16V FLEX,2010,1,2
208 GRIFFE 1.6 FLEX,2014,1,2
XC 90 T-6 MOMENTUM 2.0 320CV 4,2015,1,2
Corsa Pick-Up STD 1.6 MPFI,2000,1,2
MARCH SV 1.0 12V FLEX,2018,1,2
COROLLA XLI 1.8 16V FLEX,2007,1,2
KA GL 1.0i Zetec Rocam,2001,1,2
DUSTER DAKAR 1.6 HI-FLEX 16V M,2016,1,2
METEOR 29.520 6X4 2P (DIESEL)(,2022,1,2
FIESTA SEDAN 1.6 FLEX,2012,1,2
P-320 B 8X2 2P (DIESEL)(E5),2019,1,2
Palio Week. Adv/Adv TRYON 1.8 mpi Flex,2014,1,2
FRONTIER LE ATTACK 2.5 CD 4X4,2012,1,2
Corolla Cross XRX 1.8 16V Aut.(Híbrido),2021,1,2
XC 60 T-8 HIBRIDO MOMENTUM 2.0,2021,1,2
SANDERO ZEN FLEX 1.6 16V 5P ME,2019,1,2
TRACKER 2.0 16v 128cv MPFI 4x4 5p,2009,1,2
HB20S Premium 1.6 Flex 16V Mec. 4p,2014,1,2
TECTOR 24-280 6X2 (DIESEL)(E5),2023,1,2
UP! WHITE 1.0 FLEX 12V,2014,1,2
PALIO ELX 1.4 MPI FIRE FLEX,2010,1,2
ETIOS XS Sedan1.5 Flex 16V 4p Mec.,2016,1,2
KANGOO AUTHENTIQUE HI-FLEX 1.6,2007,1,2
Toro Endurance 2.0 16V 4x4 Diesel Aut.,2021,1,2
C4 CACTUS FEEL PACK 1.6 16V FL,2020,1,2
AMAROK HIGHLINE CD 3.0 4X4 TB,2020,1,2
F 4.000 TROPICAMPO CD 3.9 TDI,2011,1,2
Saveiro 1.6 Mi,2011,1,2
HB20 SEDAN 1.6 PREMIUM,2016,1,2
AXOR 2644 S 6X4 (E5),2015,1,2
Palio EL 1.6 spi 2p e 4p,1998,1,2
HRV,2019,1,2
ONIX HATCH EFFECT 1.4 8V F.Power 5p Mec.,2015,1,2
Doblo ELX 1.8 mpi 8V Flex,2006,1,2
SPACECROSS 1.6 TOTAL FLEX,2013,1,2
SIENA EL CELEB 1.4 MPI FIRE FL,2014,1,2
FIESTA SEL 1.6 16V FLEX  AUT.,2017,1,2
TORO ENDURANCE 1.8 16V FLEX AU,2020,1,2
CITY SEDAN EX 1.5 FLEX 16V 4P,2017,1,2
AMAROK HIGHLINE CD D 2.0 16V T,2019,1,2
Fiorino Furg.1.3,2004,1,2
Palio Celebration 1.0 Fire Flex 8V 4p,2015,1,2
2500 LARAM. 6.7 NIGHT ED. TB C,2021,1,2
CRETA,2019,1,2
MERIVA JOY 1.8 FLEXPOWER,2007,1,2
Uno Mille 1.0 Economy 4p,2006,1,2
COMMANDER OVERL. TD380 2.0 4X4,2021,1,2
OUTLANDER 3.0 aut,2016,1,2
Corsa Sedan GL 1.6  MPFI 4p,1998,1,2
VOYAGE COMFORTLINE 1.6 MI TOTA,2015,1,2
HB20X EVOLUTION 1.6 FLEX 16V A,2020,1,2
S10 Pick-Up 2.4 MPFI 8v 128cv CD 4p,2000,1,2
FLUENCE SEDAN PRIVILEGE 2.0 16,2015,1,2
TORO FREEDOM ROAD 2.4 16V FLEX,2017,1,2
AMAROK TRENDLINE CD 2.0 16V TD,2014,1,2
DUSTER DYNAMIQUE 2.0 16V HI-FL,2012,1,2
Kombi Pick-Up,1997,1,2
AIRCROSS EXCLUSIVE 1.6 16V FLE,2011,1,2
FOX 1.0 MI TOTAL FLEX,2009,1,2
SAVEIRO TROOPER CE 1.6 MI TOTA,2011,1,2
PRISMA SEDAN LS 1.0 FLEX,2017,1,2
L200 Triton HPE 3.2 CD TB Int.Diesel Aut,2015,1,2
HB20 SEDAN 1.6 COMFORT STYLE,2015,1,2
COROLLA DYNAMIC 2.0 FLEX 16V A,2016,1,2
COBALT LT 1.4 FLEXPOWER,2014,1,2
SPIN LT 1.8 8V ECONO.FLEX 5P A,2013,1,2
ATEGO 2425,2010,1,2
COROLLA XLI 1.6 16V,2005,1,2
MONTANA CONQUEST 1.8 FLEXPOWER,2007,1,2
STRADA,2020,1,2
Strada 1.4 mpi Fire Flex 8V CS,2009,1,2
SPIN PREMIER 1.8 8V ECONO.FLEX,2021,1,2
Uno Mille 1.0 Economy 4p,2002,1,2
RANGER XLT 3.2 20V 4X4 CD D,2019,1,2
ECOSPORT SE 1.6 16V FLEX,2016,1,2
15-190 E Constellation 2p (diesel)(E5),2014,1,2
FIESTA 1.0 FLEX,2010,1,2
ATEGO 2730B 6X4 2P (DIESEL)(E5,2020,1,2
FIORINO FURGAO 1.5,2010,1,2
HB20 SENSE 1.0 FLEX 12V MEC.,2019,1,2
S 10 PICK-UP LS 2.8 4X4 TDI D,2018,1,2
ETIOS PLATINUM 1.5 FLEX 16V 4P,2017,1,2
XT 600 E,1994,1,2
Fiesta Personnalité 1.0 8V 66cv 5p,2002,1,2
FIT LX 1.4 FLEX,2008,1,2
ONIX,2014,1,2
PUNTO ESSENCE 1.6 FLEX,2016,1,2
Palio Trofeo 1.0 Fire 2p,2005,1,2
L200 TRITON SPORT GLX 2.4 CD D,2019,1,2
ETIOS XLS SEDAN 1.5 FLEX 16V 4,2018,1,2
ONIX HATCH LTZ 1.0 12V TB FLEX,2022,1,2
Ducato Multi Long. 2.3 T.Alto ME Diesel,2011,1,2
