seguradora_id,data_proposta,data_finalizada,modelo,fabricante,fabricacao,ano_modelo,case
2,2023-07-31,2023-08-01,XTZ 250 LANDER 249cc,YAMAHA,2022,2023,Aprovado
2,2023-07-31,2023-08-01,MONTANA  Sport 1.8 MPFI FlexPower 8V,GM - Chevrolet,2004,2005,Aprovado
2,2023-07-31,2023-08-01,Strada Adventure 1.8 Flex  CE,Fiat,2010,2011,Aprovado
2,2023-07-31,2023-08-01,Hilux CD SR D4-D 4x4 3.0  TDI Dies.,Toyota,2006,2006,Aprovado
2,2023-07-31,2023-07-31,NC 750X,Honda,2020,2020,Aprovado
2,2023-07-31,2023-08-01,MONTANA 1.8,GM - Chevrolet,2006,2007,Reprovado
2,2023-07-31,2023-08-01,CG 160 FAN Flex,Honda,2019,2020,Aprovado
53,2023-07-31,2023-07-31,"","","","",Aprovado
59,2023-07-31,2023-07-31,CRUZE LT NB,CHEVROLET,2013,2014,Reprovado
61,2023-07-31,2023-07-31,"","","","",Aprovado
2,2023-07-31,2023-08-01,BIZ 125 EX Flex,Honda,2015,2015,Aprovado
2,2023-07-31,2023-08-01,CG 160 Start,Honda,2020,2021,Aprovado
61,2023-07-31,2023-07-31,"","","","",Aprovado
2,2023-07-31,2023-08-01,CG 160 TITAN FLEXone,Honda,2015,2016,Aprovado
53,2023-07-31,2023-07-31,"","","","",Aprovado
2,2023-07-31,2023-08-01,Cerato 1.6 16V  Flex  Aut.,Kia Motors,2013,2014,Aprovado
2,2023-07-31,2023-08-01,Gol CLi  1.6,VW - VolksWagen,1995,1995,Aprovado
2,2023-07-31,2023-08-01,ASX 2.0 16V 4x4 160cv Aut.,Mitsubishi,2012,2013,Aprovado
61,2023-07-31,2023-07-31,"","","","",Aprovado
2,2023-07-31,2023-08-01,MT-03 ABS,YAMAHA,2017,2018,Aprovado
2,2023-07-31,2023-08-01,PCX 150,Honda,2021,2021,Aprovado
2,2023-07-31,2023-07-31,CB 500X,Honda,2022,2023,Aprovado
2,2023-07-31,2023-08-01,Hilux CD SRV D4-D 4x4 3.0 TDI Diesel Aut,Toyota,2006,2007,Aprovado
2,2023-07-31,2023-08-01,PCX 150 DLX,Honda,2022,2022,Aprovado
2,2023-07-31,2023-08-01,T 310,Zontes,2023,2024,Aprovado
2,2023-07-31,2023-07-31,YBR 125 FACTOR ED,YAMAHA,2014,2014,Aprovado
2,2023-07-31,2023-08-01,YBR 125i FACTOR ED,YAMAHA,2022,2023,Aprovado
61,2023-07-31,2023-08-01,"","","","",Aprovado
2,2023-07-31,2023-07-31,YS 250 FAZER,YAMAHA,2007,2008,Aprovado
2,2023-07-31,2023-07-31,BIZ 125 ES,Honda,2011,2012,Aprovado
2,2023-07-31,2023-08-01,CG 160 FAN Flex,Honda,2023,2023,Aprovado
2,2023-07-31,2023-08-01,CG 160 TITAN FLEXone,Honda,2023,2023,Aprovado
2,2023-07-31,2023-08-01,CG 150 FAN ESDi,Honda,2014,2014,Aprovado
2,2023-07-31,2023-08-01,YBR 150 FACTOR ED,YAMAHA,2019,2020,Aprovado
2,2023-07-31,2023-07-31,CG 125 FAN KS,Honda,2011,2011,Aprovado
2,2023-07-31,2023-08-01,CB TWISTER 250cc,Honda,2022,2022,Aprovado
2,2023-07-31,2023-08-01,CG 160 Start,Honda,2020,2021,Aprovado
2,2023-07-31,2023-07-31,POP 110i,Honda,2017,2018,Aprovado
2,2023-07-31,2023-07-31,NEO Automatic 115cc,YAMAHA,2010,2010,Aprovado
2,2023-07-31,2023-08-01,SANDERO STEP. Zen Flex 1.6 16V  Mec.,Renault,2020,2021,Aprovado
2,2023-07-31,2023-08-01,CG 160 FAN Flex,Honda,2019,2020,Aprovado
2,2023-07-31,2023-07-31,CG 125 FAN,Honda,2005,2005,Aprovado
2,2023-07-31,2023-08-01,C30 2.0 145cv,Volvo,2010,2011,Aprovado
2,2023-07-31,2023-08-01,NINJA 400,KAWASAKI,2018,2019,Aprovado
2,2023-07-31,2023-08-01,XTZ 250 TENERE,YAMAHA,2014,2015,Aprovado
2,2023-07-31,2023-08-01,TRACKER LTZ 1.4 Turbo 16V Flex 4x2 Aut.,GM - Chevrolet,2016,2017,Aprovado
2,2023-07-31,2023-07-31,CG 150 Sport,Honda,2008,2008,Aprovado
2,2023-07-31,2023-08-01,XRE 300,Honda,2010,2010,Aprovado
2,2023-07-31,2023-08-01,Meteor Stellar 350cc ABS,Royal Enfield,2021,2022,Aprovado
2,2023-07-31,2023-08-01,CB 300R,Honda,2014,2014,Aprovado
2,2023-07-31,2023-08-01,T-Cross 1.0 TSI Flex 12V 5p Aut.,VW - VolksWagen,2020,2021,Aprovado
2,2023-07-31,2023-07-31,CG 150 TITAN-ES MIX,Honda,2010,2010,Aprovado
2,2023-07-31,2023-07-31,NMAX 160,YAMAHA,2021,2022,Aprovado
2,2023-07-31,2023-08-01,Uno Mille WAY ECONOMY 1.0 F.Flex 4p,Fiat,2009,2009,Aprovado
2,2023-07-31,2023-08-01,CB 500X,Honda,2022,2022,Aprovado
2,2023-07-31,2023-08-01,COBALT LT 1.8 8V Econo.Flex 4p Aut.,GM - Chevrolet,2012,2013,Aprovado
2,2023-07-31,2023-08-01,FZ25 250 FAZER FLEX,YAMAHA,2023,2023,Aprovado
2,2023-07-31,2023-07-31,VULCAN S 650,KAWASAKI,2017,2018,Aprovado
2,2023-07-31,2023-08-01,YS 250 FAZER,YAMAHA,2011,2012,Aprovado
2,2023-07-31,2023-08-01,CG 160 Start,Honda,2017,2017,Aprovado
2,2023-07-31,2023-07-31,Palio ELX 1.6 4p,Fiat,1999,1999,Aprovado
2,2023-07-31,2023-07-31,CG 160 TITAN FLEXone,Honda,2018,2018,Aprovado
2,2023-07-31,2023-07-31,VERSYS-X 300 TOURER,KAWASAKI,2020,2020,Aprovado
2,2023-07-31,2023-07-31,Hilux CD SRV 4x4 2.8 TDI Diesel Aut.,Toyota,2020,2020,Aprovado
2,2023-07-31,2023-08-01,LIVINA S 1.8 16V Flex Fuel Aut.,Nissan,2012,2013,Aprovado
2,2023-07-31,2023-08-01,320iA GT 2.0 Turbo 16V 184cv 5p,BMW,2015,2016,Aprovado
2,2023-07-31,2023-07-31,T115 CRYPTON K,YAMAHA,2011,2012,Aprovado
2,2023-07-31,2023-08-01,NMAX 160,YAMAHA,2021,2022,Aprovado
2,2023-07-31,2023-07-31,Hilux CD SRV 4x4 2.8 TDI Diesel Aut.,Toyota,2016,2017,Aprovado
2,2023-07-31,2023-07-31,VULCAN S 650,KAWASAKI,2022,2023,Aprovado
2,2023-07-31,2023-07-31,CG 160 FAN Flex,Honda,2019,2019,Aprovado
2,2023-07-31,2023-08-01,CB 650R,Honda,2022,2022,Aprovado
2,2023-07-31,2023-08-01,PCX 150 SPORT,Honda,2021,2022,Aprovado
2,2023-07-31,2023-08-01,CRUISYM 150,DAFRA,2022,2023,Aprovado
2,2023-07-31,2023-08-01,LOGAN Dynamique Hi-Flrx 1.6 8V 4p,Renault,2015,2016,Aprovado
2,2023-07-31,2023-08-01,CG 160 FAN ESDi FLEXONE,Honda,2016,2016,Aprovado
2,2023-07-31,2023-07-31,XTZ 250 LANDER 249cc,YAMAHA,2019,2020,Aprovado
2,2023-07-31,2023-08-01,ADV 150,Honda,2023,2023,Aprovado
2,2023-07-31,2023-07-31,MT-09 TRACER 900 GT,YAMAHA,2021,2022,Aprovado
2,2023-07-31,2023-08-01,Siena 1.0,Fiat,2004,2005,Aprovado
2,2023-07-31,2023-07-31,CG 150 FAN ESi,Honda,2012,2012,Aprovado
2,2023-07-31,2023-08-01,ONIX HATCH LT 1.4 8V FlexPower 5p Mec.,GM - Chevrolet,2014,2014,Aprovado
61,2023-07-31,2023-07-31,"","","","",Aprovado
2,2023-07-31,2023-08-01,Classic 1.0 VHC FlexPower 4p,GM - Chevrolet,2009,2010,Aprovado
2,2023-07-31,2023-07-31,XJ6 N,YAMAHA,2012,2012,Aprovado
2,2023-07-31,2023-07-31,BURGMAN i 125 cc,Suzuki,2011,2012,Aprovado
2,2023-07-31,2023-07-31,CG 125 FAN KS,Honda,2012,2012,Aprovado
2,2023-07-31,2023-07-31,CG 150 FAN ESDi,Honda,2011,2012,Aprovado
2,2023-07-31,2023-08-01,XVS 650 DRAG STAR,YAMAHA,2003,2004,Aprovado
2,2023-07-31,2023-07-31,NEO Automatic 125cc,YAMAHA,2022,2023,Aprovado
2,2023-07-31,2023-08-01,SANDERO Privilège Hi-Flex 1.6 16V 5p Aut,Renault,2014,2014,Aprovado
2,2023-07-31,2023-07-31,CG 160 FAN Flex,Honda,2022,2022,Aprovado
2,2023-07-31,2023-07-31,NXR 150 Bros ES MIX,Honda,2010,2010,Aprovado
53,2023-07-31,2023-07-31,"","","","",Aprovado
2,2023-07-31,2023-08-01,NXR 160 Bros ESDD FLEXone,Honda,2019,2019,Aprovado
2,2023-07-31,2023-07-31,XL 700V TRANSALP,Honda,2013,2013,Aprovado
2,2023-07-31,2023-07-31,C 100 BIZ KS,Honda,2013,2013,Aprovado
2,2023-07-31,2023-08-01,ONIX HATCH LS 1.0 8V FlexPower 5p Mec.,GM - Chevrolet,2015,2016,Aprovado
2,2023-07-31,2023-07-31,GSR 750,Suzuki,2015,2016,Aprovado
2,2023-07-31,2023-08-01,CG 160 FAN Flex,Honda,2022,2023,Aprovado
2,2023-07-31,2023-08-01,XMAX 250 ABS,YAMAHA,2023,2023,Aprovado
61,2023-07-31,2023-07-31,"","","","",Aprovado
2,2023-07-31,2023-08-01,HB20 C. 1.6,Hyundai,2015,2016,Aprovado
2,2023-07-31,2023-07-31,XTZ 250 LANDER 249cc,YAMAHA,2022,2022,Aprovado
2,2023-07-31,2023-08-01,Fusca,VW - VolksWagen,1994,1994,Aprovado
2,2023-07-31,2023-07-31,Zafira 2.0 16V MPFI Mec,GM - Chevrolet,2001,2001,Aprovado
2,2023-07-31,2023-07-31,CG 150 FAN ESDi,Honda,2013,2014,Aprovado
2,2023-07-31,2023-08-01,YS 250 FAZER,YAMAHA,2014,2014,Aprovado
2,2023-07-31,2023-07-31,CG 150 TITAN-ESD MIX Flex,Honda,2011,2011,Aprovado
2,2023-07-31,2023-08-01,CG 160 Cargo,Honda,2019,2019,Aprovado
2,2023-07-31,2023-07-31,Z-800,KAWASAKI,2013,2014,Aprovado
2,2023-07-31,2023-07-31,CG 160 Start,Honda,2021,2021,Aprovado
2,2023-07-31,2023-07-31,YBR 150 FACTOR ED,YAMAHA,2021,2022,Aprovado
2,2023-07-31,2023-08-01,PCX 150 SPORT,Honda,2021,2022,Aprovado
2,2023-07-31,2023-07-31,CG 160 FAN Flex,Honda,2021,2021,Aprovado
2,2023-07-31,2023-07-31,FZ25 250 FAZER FLEX,YAMAHA,2022,2023,Aprovado
2,2023-07-31,2023-08-01,CG 160 Start,Honda,2020,2021,Aprovado
2,2023-07-31,2023-07-31,CB 500F,Honda,2021,2022,Aprovado
2,2023-07-31,2023-08-01,CG 150 FAN Esi Flex,Honda,2013,2013,Aprovado
2,2023-07-31,2023-07-31,CG 150 Start FLEXone,Honda,2014,2015,Aprovado
2,2023-07-31,2023-07-31,CG 150 FAN ESDi,Honda,2010,2011,Aprovado
2,2023-07-31,2023-07-31,BANDIT N-1250,Suzuki,2009,2010,Aprovado
2,2023-07-31,2023-08-01,BIZ 125 Flexone,Honda,2023,2023,Aprovado
61,2023-07-31,2023-07-31,"","","","",Aprovado
2,2023-07-31,2023-07-31,XRE 190,Honda,2021,2021,Aprovado
2,2023-07-31,2023-07-31,Ka 1.0 SE TiVCT Flex 5p,Ford,2018,2018,Aprovado
2,2023-07-31,2023-07-31,Creta Action 1.6 16V Flex Aut.,Hyundai,2021,2021,Aprovado
2,2023-07-31,2023-08-01,CG 150 TITAN-EX MIX,Honda,2014,2014,Aprovado
2,2023-07-31,2023-07-31,CAPTUR Intense 1.6 16V Flex 5p Aut.,Renault,2019,2020,Aprovado
2,2023-07-31,2023-08-01,CG 160 FAN Flex,Honda,2019,2019,Aprovado
2,2023-07-31,2023-08-01,PCX 150,Honda,2019,2020,Aprovado
2,2023-07-31,2023-07-31,Citycom.300i,DAFRA,2010,2011,Aprovado
2,2023-07-31,2023-08-01,PCX 150,Honda,2014,2015,Reprovado
2,2023-07-31,2023-07-31,YS 250 FAZER BlueFlex,YAMAHA,2016,2017,Aprovado
2,2023-07-31,2023-07-31,CG 160 TITAN FLEXone,Honda,2019,2019,Aprovado
2,2023-07-31,2023-08-01,XTZ 150 CROSSER Z FLEX,YAMAHA,2021,2022,Aprovado
2,2023-07-31,2023-07-31,PCX 150,Honda,2021,2021,Aprovado
2,2023-07-31,2023-07-31,XTZ 250 LANDER 249cc,YAMAHA,2023,2023,Aprovado
2,2023-07-31,2023-08-01,YS 150 Fazer SED,YAMAHA,2020,2021,Aprovado
2,2023-07-31,2023-07-31,CG 150 FAN ESi,Honda,2012,2012,Aprovado
2,2023-07-31,2023-08-01,NMAX 160,YAMAHA,2019,2019,Aprovado
2,2023-07-31,2023-07-31,R 1200 GS,BMW,2017,2018,Aprovado
2,2023-07-31,2023-08-01,EcoSport FREESTYLE 1.6 16V Flex 5p,Ford,2015,2015,Aprovado
2,2023-07-31,2023-07-31,MT-03 ABS,YAMAHA,2018,2019,Aprovado
2,2023-07-31,2023-08-01,Kombi Standard 1.4 Mi Total Flex 8V,VW - VolksWagen,2008,2008,Aprovado
2,2023-07-31,2023-08-01,Fit EX 1.5 Aut,Honda,2005,2005,Aprovado
2,2023-07-31,2023-08-01,Pajero HPE Full 3.8 V6 250cv 3p Aut.,Mitsubishi,2011,2011,Aprovado
